Feature,CSV_Feature_Index,Electrode,Region,Lobe,Hemisphere,Scalp,Feature_Type
Alpha_Band_psd_mean_0,0,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_0,1,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_0,2,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_0,3,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_0,4,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_0,5,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_0,6,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_0,7,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_0,8,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_0,9,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Delta_Band_psd_variance
Fractal_Dimension_0,10,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Fractal_Dimension
Wavelet_Energy_0,11,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Wavelet_Energy
Spectral_Entropy_0,12,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Spectral_Entropy
Hjorth_Activity_0,13,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Hjorth_Activity
Hjorth_Mobility_0,14,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Hjorth_Mobility
Hjorth_Complexity_0,15,Fp1,Prefrontal,Frontal,Left,Left prefrontal scalp,Hjorth_Complexity
Alpha_Band_psd_mean_1,16,F3,Frontal,Frontal,Left,Left frontal scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_1,17,F3,Frontal,Frontal,Left,Left frontal scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_1,18,F3,Frontal,Frontal,Left,Left frontal scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_1,19,F3,Frontal,Frontal,Left,Left frontal scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_1,20,F3,Frontal,Frontal,Left,Left frontal scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_1,21,F3,Frontal,Frontal,Left,Left frontal scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_1,22,F3,Frontal,Frontal,Left,Left frontal scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_1,23,F3,Frontal,Frontal,Left,Left frontal scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_1,24,F3,Frontal,Frontal,Left,Left frontal scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_1,25,F3,Frontal,Frontal,Left,Left frontal scalp,Delta_Band_psd_variance
Fractal_Dimension_1,26,F3,Frontal,Frontal,Left,Left frontal scalp,Fractal_Dimension
Wavelet_Energy_1,27,F3,Frontal,Frontal,Left,Left frontal scalp,Wavelet_Energy
Spectral_Entropy_1,28,F3,Frontal,Frontal,Left,Left frontal scalp,Spectral_Entropy
Hjorth_Activity_1,29,F3,Frontal,Frontal,Left,Left frontal scalp,Hjorth_Activity
