Feature,Mean_abs_SHAP,Mean_signed_SHAP,SHAP_Rank
Alpha_Band_psd_mean_11,0.024434530861645275,0.004264005173385915,1
Alpha_Band_psd_variance_12,0.023731696410476254,0.0011338965038084595,2
Alpha_Band_psd_mean_1,0.023179494427401217,0.0012983042412509855,3
Alpha_Band_psd_variance_14,0.02110522007605213,-0.0008947270373000897,4
Alpha_Band_psd_mean_4,0.017322754538373755,0.00042506586115585157,5
Alpha_Band_psd_mean_14,0.015997446882339308,0.0010848620474783427,6
Hjorth_Complexity_4,0.015310296434842897,0.002078161370618674,7
Alpha_Band_psd_mean_3,0.015244724866134119,0.0014474198544819604,8
Hjorth_Complexity_11,0.015064031875657143,0.001970898324977647,9
Wavelet_Energy_14,0.014700377596777737,-0.00011949192372014505,10
Beta_Band_psd_variance_15,0.014523476574022616,0.0012593220825760836,11
Alpha_Band_psd_mean_0,0.014334043714702859,-0.0002886370119322298,12
Wavelet_Energy_12,0.013441032111226298,0.0005696226896490065,13
Beta_Band_psd_mean_4,0.012680020242064948,0.00145602819696573,14
Alpha_Band_psd_variance_5,0.01096179271938166,0.0009510108993022145,15
Alpha_Band_psd_mean_6,0.010038599666775491,0.00022964470031222652,16
Hjorth_Complexity_3,0.009901019480571312,0.001953803673025556,17
Beta_Band_psd_mean_15,0.00983967277589789,-0.0004107513041462333,18
Beta_Band_psd_mean_12,0.009713692500597698,0.0014090759609991167,19
Wavelet_Energy_15,0.009342919913967669,0.0013008017696871763,20
Beta_Band_psd_mean_11,0.008373448587492244,0.0003479049531915936,21
Beta_Band_psd_mean_14,0.007733578900207875,0.0010258125278227814,22
Alpha_Band_psd_mean_15,0.007215520976898505,0.0021663919439301477,23
Wavelet_Energy_6,0.007115693743026698,0.0013383630330351954,24
Wavelet_Energy_11,0.00674253629531653,0.0008981807506838601,25
Beta_Band_psd_mean_3,0.005841182457920185,-0.0005995475669907861,26
Alpha_Band_psd_mean_5,0.005737149082257171,0.0015188371169078802,27
Alpha_Band_psd_mean_10,0.004625055520086259,0.0010520433075302499,28
Wavelet_Energy_3,0.0042951060621507185,-7.770373686672937e-05,29
Alpha_Band_psd_mean_12,0.0042729830914823765,0.001987801940796365,30
